ee.ID	ee.Name
2973	GSE19392
6354	GSE33154
6891	GSE37521
7127	GSE39656
7420	GSE29561
8942	GSE48213
9802	GSE60482.2
10545	GSE52778
11641	GSE71058
11822	GSE103715
11899	GSE11149
12152	GSE37612
12343	GSE44289
12779	GSE61266
12997	GSE79951
13288	GSE50148
13321	GSE72887
13344	GSE85519
13425	GSE111150
13428	GSE57998
13473	GSE66468
13477	GSE100217
13630	GSE9061
14007	GSE23525
14008	GSE79561
14213	GSE83107
14220	GSE83217
14852	GSE123491
14940	GSE115526
14950	GSE124681
15114	GSE120161
15255	GSE42880
15271	GSE38703
15435	GSE41637.1
15437	GSE41637.2
15440	GSE41658
15446	GSE112174.1
15579	GSE94364
15601	GSE105447
15668	GSE97353
15710	GSE78938
15901	GSE61695
15952	GSE30619
16109	GSE26355
16154	GSE108356
16162	GSE97806.2
16165	GSE78688.3
16167	GSE65926.1
16171	GSE76514.2
16176	GSE74333.1
16177	GSE74333.2
16186	GSE73721.1
16191	GSE99074.1
16209	GSE43294.2
16212	GSE74315
16218	GSE123652
16247	GSE54443
16249	GSE68715
16250	GSE73627
16251	GSE84013
16252	GSE87750
16257	GSE102335
16259	GSE109315
16260	GSE113948
16263	GSE128136
16280	GSE56249
16352	GSE20568
16355	GSE35423
16446	GSE88848
16460	GSE80206
16528	GSE19284
16639	GSE98290
16646	GSE92876
16647	GSE92452
16651	GSE89981
16661	GSE76854
16668	GSE71179
16671	GSE67299
16680	GSE52084
16683	GSE146457
16698	GSE139192
16708	GSE133434
16712	GSE129704
16747	GSE118733
16865	GSE28889
17091	GSE125387
17093	GSE137852
17104	GSE116840
17107	GSE111606
17116	GSE126542
17118	GSE22812
17127	GSE48965
17131	GSE123657
17157	GSE49712
17160	GSE121345
17162	GSE125001
17170	GSE68832
17173	GSE90686
17176	GSE133766
17195	GSE123896
17201	GSE131844
17209	GSE133965
17211	GSE125569
17214	GSE124793
17224	GSE125568
17230	GSE59827
17233	GSE65698
17236	GSE119699
17237	GSE132076
17282	GSE154442
17303	GSE147060
17319	GSE153669
17405	GSE150694
17408	GSE153313
17530	GSE131581.2
17547	GSE132698
17548	GSE132760
17569	GSE142209.1
17570	GSE142209.2
17572	GSE142541.1
17578	GSE147432.3
17607	GSE158754
17609	GSE140128
17614	GSE148316
17634	GSE150331
17686	GSE153658
17704	GSE157772
17708	GSE148059
17758	GSE160146
17786	GSE159940
17788	GSE162419
17791	GSE157992
17792	GSE159194
17793	GSE159332
17794	GSE159340
17795	GSE159699
17796	GSE159919
17797	GSE159944
17799	GSE162655
17801	GSE160691
17802	GSE160528
17804	GSE159990
17863	GSE153198
17876	GSE160151
17931	GSE164731
17932	GSE155411
17933	GSE159235
17934	GSE161622
17935	GSE163591
17936	GSE164644
17937	GSE156156
17938	GSE160587
17939	GSE161450
17940	GSE165344
17941	GSE166054
17943	GSE160761
17945	GSE162047
17952	GSE159226
17953	GSE160224
17954	GSE160627
17955	GSE160967
17956	GSE161199
17957	GSE164798
17961	GSE160495
17962	GSE167176
17963	GSE160293
17964	GSE155610
17965	GSE155866
17968	GSE160011
17969	GSE160025
17972	GSE162209
17974	GSE165105
17975	GSE166073
17976	GSE166500
17977	GSE166670
17980	GSE156858
17981	GSE157604
17982	GSE157713
17983	GSE157825
17984	GSE159768
17985	GSE160257
17986	GSE161355
17987	GSE161498
17988	GSE161540
17992	GSE162417
17996	GSE163449
17997	GSE163462
17998	GSE163636
17999	GSE163691
18000	GSE163795
18001	GSE164421
18003	GSE164575
18004	GSE164727
18005	GSE165228
18006	GSE166117
18007	GSE166193
18008	GSE166565
18009	GSE166615
18010	GSE166791
18011	GSE163161
18012	GSE165520
18015	GSE157903
18016	GSE163127
18018	GSE164610
18019	GSE166024
18022	GSE156878
18023	GSE156880
18026	GSE158152
18027	GSE158153
18028	GSE158311
18029	GSE158312
18034	GSE159568
18035	GSE159728
18036	GSE159739
18038	GSE159778
18041	GSE160270
18042	GSE160589
18046	GSE160810
18047	GSE160811
18049	GSE162883
18055	GSE165757
18056	GSE165758
18060	GSE166012
18065	GSE166769
18066	GSE162352
18132	GSE4127
18211	GSE148350.1
18212	GSE148350.2
18213	GSE151460.1
18214	GSE151460.2
18240	GSE151742.1
18241	GSE151742.2
18289	GSE119995
18335	GSE117327
18350	GSE75382
18360	GSE110270
18376	GSE56552
18381	GSE63652
18382	GSE64811
18383	GSE66421
18392	GSE74438
18397	GSE8409
18398	GSE84185
18399	GSE92236
18429	GSE73798
18449	GSE12293
18457	GSE19304
18462	GSE25574
18475	GSE35125
18481	GSE38037
18482	GSE38038
18487	GSE4075
18500	GSE44082
18516	GSE5171
18551	GSE67796
18573	GSE69450
18584	GSE7855
18604	GSE88920
18630	GSE30365
18635	GSE37611
18637	GSE46267
18640	GSE85290
18642	GSE94896
18709	GSE45035
18754	GSE37446
18764	GSE13745
18775	GSE111362
18781	GSE114852
18784	GSE1741
18785	GSE23086
18786	GSE26138
18787	GSE34309
18788	GSE38206
18789	GSE39989
18791	GSE45550
18792	GSE48873
18793	GSE48902
18794	GSE49352
18795	GSE29343
18797	GSE52142
18798	GSE54356
18799	GSE57718
18800	GSE58430
18804	GSE64282
18806	GSE67077
18807	GSE68076
18808	GSE71631
18809	GSE71632
18814	GSE76593
18817	GSE76826
18818	GSE77103
18822	GSE80371
18825	GSE83386
18829	GSE94988
18836	GSE97760
18837	GSE37587
18838	GSE66724
18841	GSE79255
18843	GSE70603
18846	GSE108875
18848	GSE57475
18849	GSE67663
18854	GSE100534
18861	GSE103381
18863	GSE105033
18865	GSE108914
18868	GSE110817
18869	GSE112384
18879	GSE18478
18882	GSE1956
18889	GSE24497
18891	GSE28409
18892	GSE28717
18893	GSE29634
18894	GSE31421
18895	GSE32386
18900	GSE44660
18902	GSE50478
18903	GSE50493
18906	GSE55248
18908	GSE57810
18911	GSE65303
18912	GSE66586
18914	GSE66787
18920	GSE72678
18922	GSE73038
18923	GSE73509
18924	GSE73517
18926	GSE73591
18929	GSE77080
18930	GSE78703
18933	GSE80149
18942	GSE86510
18947	GSE87783
18989	GSE16477
18990	GSE16481
18991	GSE16480
18993	GSE49973
